Year,Total
1880,865.412
1881,891.081
1882,938.752
1883,997.424
1884,1008.425
1885,1015.759
1886,1030.427
1887,1081.765
1888,1199.109
1889,1199.109
1890,1305.452
1891,1364.124
1892,1371.458
1893,1356.79
1894,1404.461
1895,1488.802
1896,1536.473
1897,1613.48
1898,1705.155
1899,1859.169
1900,1958.178
1901,2024.184
1902,2075.522
1903,2262.539
1904,2288.208
1905,2431.221
1906,2592.569
1907,2874.928
1908,2750.25
1909,2878.595
1910,3003.273
1911,3065.612
1912,3223.293
1913,3457.981
1914,3116.95
1915,3072.946
1916,3303.967
1917,3501.985
1918,3432.312
1919,2955.602
1920,3417.644
1921,2944.601
1922,3098.615
1923,3556.99
1924,3531.321
1925,3575.325
1926,3604.661
1927,3894.354
1928,3905.355
1929,4198.715
1930,3861.351
1931,3446.98
1932,3105.949
1933,3274.631
1934,3567.991
1935,3766.009
1936,4143.71
1937,4433.403
1938,4187.714
1939,4371.064
1940,4763.433
1941,4891.778
1942,4921.114
1943,5100.797
1944,5071.461
1945,4253.72
1946,4539.746
1947,5104.464
1948,5386.823
1949,5203.473
1950,5977.21
1951,6479.589
1952,6582.265
1953,6750.947
1954,6838.955
1955,7488.014
1956,7983.059
1957,8324.09
1958,8544.11
1959,8998.818
1960,9420.523
1961,9460.86
1962,9849.562
1963,10388.611
1964,10982.665
1965,11477.71
1966,12057.096
1967,12442.131
1968,13076.522
1969,13861.26
1970,14862.351
1971,15430.736
1972,16046.792
1973,16919.538
1974,16952.541
1975,16853.532
1976,17836.288
1977,18393.672
1978,18606.358
1979,19644.119
1980,19438.767
1981,18841.046
1982,18679.698
1983,18610.025
1984,19281.086
1985,19864.139
1986,20472.861
1987,20993.575
1988,21767.312
1989,22244.022
1990,22354.032
1991,22629.057
1992,22405.37
1993,22383.368
1994,22764.736
1995,23263.448
1996,23802.497
1997,24161.863
1998,24095.857
1999,24051.853
2000,24667.909
2001,25250.962
2002,25470.982
2003,27014.789
2004,28364.245
2005,29427.675
2006,30461.769
2007,31125.496
2008,32042.246
2009,31686.547
2010,33505.379
2011,34865.836
2012,35463.557
2013,35848.592
