Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.29,-.20,-.17,-.27,-.13,-.28,-.23,-.07,-.16,-.15,-.18,-.21,-.19,***,***,-.19,-.19,-.16
1881,-.10,-.13,.02,-.02,-.03,-.27,-.05,-.01,-.08,-.18,-.25,-.15,-.11,-.11,-.15,-.01,-.11,-.17
1882,.11,.10,.03,-.19,-.17,-.24,-.10,.04,.00,-.22,-.20,-.24,-.09,-.08,.02,-.11,-.10,-.14
1883,-.33,-.41,-.17,-.23,-.24,-.11,-.08,-.12,-.17,-.11,-.19,-.18,-.19,-.20,-.33,-.22,-.10,-.16
1884,-.18,-.10,-.33,-.35,-.30,-.37,-.33,-.24,-.22,-.21,-.29,-.28,-.27,-.26,-.15,-.33,-.31,-.24
1885,-.64,-.29,-.23,-.43,-.41,-.49,-.28,-.27,-.18,-.18,-.21,-.05,-.31,-.32,-.40,-.36,-.35,-.19
1886,-.42,-.45,-.40,-.29,-.26,-.38,-.15,-.30,-.18,-.24,-.25,-.24,-.30,-.28,-.30,-.32,-.28,-.23
1887,-.65,-.47,-.30,-.36,-.32,-.19,-.18,-.26,-.19,-.31,-.25,-.37,-.32,-.31,-.46,-.33,-.21,-.25
1888,-.42,-.41,-.47,-.28,-.22,-.20,-.09,-.10,-.07,.02,.00,-.12,-.20,-.22,-.40,-.32,-.13,-.02
1889,-.20,.15,.05,.05,-.02,-.11,-.04,-.17,-.17,-.21,-.30,-.30,-.11,-.09,-.06,.03,-.11,-.23
1890,-.47,-.48,-.40,-.37,-.47,-.27,-.29,-.35,-.35,-.22,-.36,-.30,-.36,-.36,-.42,-.42,-.30,-.31
1891,-.46,-.50,-.14,-.25,-.17,-.21,-.22,-.21,-.13,-.23,-.37,-.02,-.24,-.26,-.42,-.19,-.21,-.24
1892,-.25,-.14,-.36,-.34,-.24,-.19,-.27,-.19,-.25,-.16,-.49,-.28,-.26,-.24,-.14,-.31,-.22,-.30
1893,-.68,-.51,-.23,-.32,-.35,-.24,-.14,-.23,-.18,-.16,-.16,-.37,-.30,-.29,-.49,-.30,-.20,-.17
1894,-.55,-.31,-.20,-.41,-.30,-.43,-.31,-.28,-.22,-.16,-.24,-.21,-.30,-.32,-.41,-.30,-.34,-.21
1895,-.43,-.41,-.28,-.22,-.22,-.24,-.16,-.15,-.01,-.10,-.15,-.11,-.21,-.22,-.35,-.24,-.19,-.09
1896,-.22,-.14,-.29,-.32,-.19,-.14,-.06,-.09,-.04,.04,-.15,-.11,-.14,-.14,-.16,-.27,-.09,-.05
1897,-.22,-.18,-.12,-.01,.00,-.12,-.04,-.03,-.04,-.09,-.16,-.24,-.10,-.09,-.17,-.04,-.06,-.10
1898,-.06,-.32,-.55,-.33,-.35,-.21,-.22,-.23,-.18,-.31,-.36,-.21,-.28,-.28,-.21,-.41,-.22,-.28
1899,-.17,-.39,-.33,-.20,-.20,-.25,-.14,-.04,-.01,.00,.13,-.26,-.16,-.15,-.26,-.24,-.14,.04
1900,-.39,-.07,.03,-.14,-.05,-.14,-.08,-.03,.02,.09,-.12,-.13,-.08,-.09,-.24,-.05,-.08,.00
1901,-.28,-.05,.06,-.05,-.17,-.09,-.08,-.12,-.15,-.28,-.15,-.27,-.14,-.12,-.15,-.05,-.10,-.19
1902,-.18,-.03,-.28,-.28,-.31,-.33,-.24,-.27,-.20,-.27,-.35,-.45,-.27,-.25,-.16,-.29,-.28,-.27
1903,-.27,-.06,-.21,-.39,-.41,-.44,-.29,-.42,-.41,-.40,-.38,-.46,-.35,-.34,-.26,-.34,-.38,-.40
1904,-.63,-.54,-.45,-.49,-.50,-.48,-.48,-.43,-.46,-.35,-.16,-.29,-.44,-.45,-.54,-.48,-.47,-.32
1905,-.38,-.58,-.24,-.36,-.33,-.31,-.24,-.20,-.14,-.24,-.09,-.21,-.28,-.28,-.42,-.31,-.25,-.16
1906,-.30,-.32,-.15,-.03,-.21,-.21,-.26,-.18,-.25,-.20,-.38,-.18,-.22,-.22,-.28,-.13,-.22,-.28
1907,-.43,-.51,-.23,-.39,-.46,-.43,-.35,-.36,-.32,-.24,-.51,-.50,-.39,-.37,-.37,-.36,-.38,-.36
1908,-.45,-.35,-.57,-.46,-.40,-.39,-.35,-.45,-.33,-.43,-.50,-.49,-.43,-.43,-.44,-.48,-.40,-.42
1909,-.69,-.46,-.51,-.58,-.53,-.51,-.42,-.29,-.37,-.38,-.31,-.54,-.47,-.46,-.55,-.54,-.41,-.35
1910,-.43,-.42,-.47,-.38,-.33,-.36,-.31,-.34,-.36,-.38,-.55,-.68,-.42,-.41,-.46,-.40,-.34,-.43
1911,-.62,-.59,-.61,-.55,-.50,-.45,-.40,-.42,-.37,-.25,-.19,-.24,-.43,-.47,-.63,-.55,-.42,-.27
1912,-.26,-.13,-.37,-.19,-.19,-.25,-.41,-.52,-.47,-.55,-.37,-.42,-.34,-.33,-.21,-.25,-.39,-.47
1913,-.42,-.43,-.43,-.37,-.45,-.46,-.35,-.34,-.34,-.34,-.18,-.04,-.35,-.38,-.42,-.41,-.38,-.29
1914,.02,-.13,-.22,-.27,-.20,-.23,-.24,-.14,-.13,-.05,-.21,-.09,-.16,-.15,-.05,-.23,-.21,-.13
1915,-.18,.00,-.10,.08,-.01,-.15,-.03,-.15,-.13,-.22,-.13,-.24,-.10,-.09,-.09,-.01,-.11,-.16
1916,-.17,-.21,-.31,-.24,-.26,-.43,-.34,-.26,-.28,-.27,-.40,-.77,-.33,-.29,-.21,-.27,-.34,-.32
1917,-.46,-.52,-.46,-.37,-.48,-.40,-.22,-.25,-.17,-.35,-.26,-.71,-.39,-.39,-.58,-.43,-.29,-.26
1918,-.42,-.29,-.18,-.38,-.36,-.27,-.20,-.25,-.13,-.03,-.15,-.29,-.24,-.28,-.48,-.31,-.24,-.10
1919,-.20,-.19,-.23,-.16,-.19,-.26,-.19,-.18,-.16,-.15,-.28,-.34,-.21,-.21,-.23,-.19,-.21,-.20
1920,-.14,-.21,-.06,-.25,-.24,-.31,-.30,-.27,-.19,-.28,-.32,-.46,-.25,-.24,-.23,-.18,-.30,-.26
